family,m,r,k,seed,step,edge,old_weight,delta,changed_entries,active_row_descriptors,compression_ratio,max_cyclic_intervals_per_row,interval_violations,support_equivalence,unique_row_interval_shapes,bitonic_rows_tested,bitonic_violations,unimodal_peak_violations,max_slack_sign_turns
road,6,36,20,1,3,"((1, 3), (2, 3))",0.8014502756484755,0.6033014321934459,36,12,3.0,1,0,True,8,7,0,0,0
road,6,36,20,1,4,"((3, 2), (3, 3))",1.1854782729330877,0.8911570700078987,32,11,2.909090909090909,1,0,True,10,6,0,0,1
road,6,36,20,1,5,"((2, 2), (2, 3))",1.0687457211795481,0.6726562365322255,36,12,3.0,1,0,True,8,8,0,0,1
road,8,64,28,0,0,"((5, 4), (5, 5))",1.3482034509264524,0.7306102526502676,36,12,3.0,1,0,True,5,4,0,0,0
road,8,64,28,0,1,"((2, 2), (2, 3))",1.9370859891472898,1.3035193895465342,36,14,2.5714285714285716,1,0,True,6,2,0,0,0
road,8,64,28,0,2,"((0, 4), (1, 4))",0.8377114993067375,0.5525340979748251,60,13,4.615384615384615,1,0,True,8,11,0,0,1
road,8,64,28,0,3,"((3, 7), (4, 7))",1.7219912505426658,1.0127722819548146,164,22,7.454545454545454,1,0,True,14,22,0,0,0
road,8,64,28,0,4,"((4, 1), (5, 1))",1.264902529027131,1.0244159537994966,122,22,5.545454545454546,1,0,True,8,21,0,0,0
road,8,64,28,0,5,"((6, 6), (6, 7))",0.9192149543679574,0.5096009557735028,36,15,2.4,1,0,True,4,2,0,0,0
road,8,64,28,1,0,"((5, 6), (5, 7))",1.3016564530846881,0.48798588985679064,84,21,4.0,1,0,True,8,14,0,0,1
road,8,64,28,1,1,"((4, 6), (4, 7))",1.140821656070952,0.640096231635138,134,26,5.153846153846154,1,0,True,12,19,0,0,1
road,8,64,28,1,2,"((4, 0), (4, 1))",1.6051547565523474,1.1822685814779006,120,23,5.217391304347826,1,0,True,12,21,0,0,1
road,8,64,28,1,3,"((5, 6), (5, 7))",1.7896423429414787,0.9492479104867414,66,19,3.473684210526316,1,0,True,8,9,0,0,1
road,8,64,28,1,4,"((2, 5), (2, 6))",1.3963799373850656,0.6922729460847594,76,24,3.1666666666666665,1,0,True,8,9,0,0,0
road,8,64,28,1,5,"((6, 2), (6, 3))",1.3457609830472994,0.7097532212647324,56,14,4.0,1,0,True,6,11,0,0,0
road,10,100,36,0,0,"((4, 6), (5, 6))",0.9545709864475261,0.7006567228547469,120,22,5.454545454545454,1,0,True,7,22,0,0,1
road,10,100,36,0,1,"((3, 1), (3, 2))",2.083140977280077,0.6043089971734588,76,15,5.066666666666666,1,0,True,8,15,0,0,1
road,10,100,36,0,2,"((8, 2), (8, 3))",1.1740401055243601,0.2597889756684759,212,32,6.625,1,0,True,15,29,0,0,0
road,10,100,36,0,3,"((1, 6), (1, 7))",1.4637378925489677,0.7918875753222044,116,17,6.823529411764706,1,0,True,6,16,0,0,0
road,10,100,36,0,4,"((1, 6), (2, 6))",2.1156864978164007,1.9216459725397284,56,13,4.3076923076923075,1,0,True,10,11,0,0,1
road,10,100,36,0,5,"((3, 4), (4, 4))",1.1816088641250602,0.6393418118595823,44,17,2.588235294117647,1,0,True,12,8,0,0,1
road,10,100,36,1,0,"((3, 1), (3, 2))",0.877644260187237,0.27637803624223634,148,22,6.7272727272727275,1,0,True,14,21,0,0,1
road,10,100,36,1,1,"((8, 7), (8, 8))",1.063954370518158,0.32759550034930257,92,20,4.6,1,0,True,4,14,0,0,0
road,10,100,36,1,2,"((8, 6), (9, 6))",0.9469167661995453,0.7004566822937693,210,32,6.5625,1,0,True,14,30,0,0,1
road,10,100,36,1,3,"((1, 4), (2, 4))",1.0687457211795481,0.38082218987269734,94,24,3.9166666666666665,1,0,True,6,12,0,0,1
road,10,100,36,1,4,"((3, 1), (3, 2))",1.1540222964294733,0.3078464919622509,96,21,4.571428571428571,1,0,True,11,19,0,0,1
road,10,100,36,1,5,"((6, 2), (7, 2))",0.9167730933961802,0.9139425006988071,110,25,4.4,1,0,True,16,20,0,0,1
road,12,144,44,0,0,"((1, 8), (1, 9))",0.8723366317045539,0.7352344805992739,164,22,7.454545454545454,1,0,True,10,21,0,0,0
road,12,144,44,0,1,"((10, 8), (10, 9))",1.275678743092102,0.4571138303636737,100,21,4.761904761904762,1,0,True,4,15,0,0,0
